Username,Like_Count,Created_At,Comment
ferd_conard,0,10/12/2025 5:36,FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U..... FCK U.....
mhmmd.hasfi,0,10/12/2025 5:36,"Out aja rik, sama si patrik out aja"
cayesszh,0,10/12/2025 5:36,💔
lidyapz,1,10/12/2025 5:10,❤️❤️❤️
habibazhiim,1,10/12/2025 5:10,🥀💔
mrizkifahrial,0,10/12/2025 5:10,#erickout
arjunganteng078,0,10/12/2025 5:10,Pecat petrik
michaelmurphii,0,10/12/2025 5:10,"nicetry garuda, terimakasih telah berjuang🫡🇲🇨"
dwidhiaditama,0,10/12/2025 5:10,Out pk
tasik_boy33,1,10/12/2025 5:10,"Blunder sih, siapa sih,,,oh bukan pemain Persib ko 😂🤭"
sastrapt,0,10/12/2025 5:10,"Terima kasih utk semuanya, punggawa garuda 🦅❤️‍🔥 . Sampai ketemu lagi di match Piala Asia 2027. Semangat✊️🔥"
tasyamonicaptr,0,10/12/2025 5:10,Yaallah yaallah😢😢
dvnvitoo,0,10/12/2025 5:10,💔😭
agung_dwisptr,1,10/12/2025 5:10,Rusak-diperbaiki-dibangun - DIRUSAK
tumpalsimanjuntak7471,0,10/12/2025 5:10,Mensereeetttttt
fa_hmi3131,0,10/12/2025 5:09,Belegug si hideng
d4ooww,3,10/12/2025 5:09,patrick OUT!!!!!
fajarrofa,4,10/12/2025 5:09,Libur dulu nonton timnas sampai pelatihnya diganti.. #kluivertout
samuelmarbun92,0,10/12/2025 4:47,Pertanyaan abdi teh kenapa harus dibatasi ya kolom komen bapaknya @erickthohir dan @arya.m.sinulingga 🤥🗿
diastzy___,0,10/12/2025 4:47,💔😢
wisti_adi,0,10/12/2025 4:47,Mafia mafia gak tau malu
rayyansyin,0,10/12/2025 4:47,#Lempartelor
90s.footballclub,0,10/12/2025 4:47,"Thanks Garuda, comeback stronger❤️"
tull.faa22,0,10/12/2025 4:47,"@erickthohir yang terhormat untuk bapak, anda orang paling pertama yg harus bertanggung jawab atas kegagalan timnas kita, pupus sudah harapan rakyat Indonesia pngen liat timnas tampil di piala dunia, anda mengganti pelatih disaat coach sty belum merampungkan tugasnya, dan akhirnya pelatih baru melakukan blunder fatal, mengubah komposisi pemain starter yg udah coach sty bangun dengan susah payah malah pelatih baru menghancurkan semuanya, al hasil lawan Arab kebobolan 3 gol dengan mudahnya dan Indonesia tampil tanpa melakukan shoot saat melawan arab, kalo sudah kaya gini mau gimana pak."
lailaturrhm,0,10/12/2025 4:47,raagadek
rayyansyin,1,10/12/2025 4:47,#Lempartelor
rifandiprrr._,0,10/12/2025 4:47,@erickthohir out anjing
rayyansyin,0,10/12/2025 4:47,#Lempartelor
rayyansyin,0,10/12/2025 4:47,#lempartelur
wi.ahsan,1,10/12/2025 4:47,"Pk out, klo sama2 gagal sama STY jga bisa kan😂"
m.arya46arifin,0,10/12/2025 4:47,Pengurus pembantu pundit
prtmaaygii,0,10/12/2025 4:46,@erickthohir outtt
dandy00s,0,10/12/2025 4:46,"@erickthohir kalo punya malu, mundur lah..
Kalo lu punya malu yaa"
rndyrmdniii_,0,10/12/2025 4:27,come one guys next fokus piala asia🔥🔥
ferdianhadinata_,0,10/12/2025 4:27,❤️
evolusi103,0,10/12/2025 4:27,Lebok
pulkopay,0,10/12/2025 4:27,KONTOL ANJING BABI LOE SEMUA ORANG ORANG POLITIK YG SOK PEDULI KE SEPAK BOLA
rayaaaa_16,0,10/12/2025 4:27,semoga lekas pulih membaik negara ini❤️‍🩹
ardynr_,0,10/12/2025 4:27,PKstay👏
mlg.48,0,10/12/2025 4:26,NO💔
___helminuari,2,10/12/2025 4:26,udeh pildun nye udeh kelar drama cinderella nya udah selesai sang cinderlla udah nemuin pasangannya. yok kanjuruhan yok di usut
blet_ngiseng,0,10/12/2025 4:26,erik dancok
maldcsrrr,0,10/12/2025 4:26,Susah kao orng atasnya masih pd main mah💔
juniadi97,0,10/12/2025 4:26,😂😂😂😂
saism03,0,10/12/2025 4:26,
elfikihadi,0,10/12/2025 4:26,PSSI KONT 💔
supermanbatman384,1,10/12/2025 4:26,SHIN TAE YONG !
aksara_al_hanan,0,10/12/2025 4:26,Kami bangga sama kalian semua KECUALI FEDERASInya 💔💔💔
alfianbree,0,10/12/2025 4:06,@erickthohir @arya.m.sinulingga ngalah²in ketoprak humor kalau soal ngelawak
tadza23,0,10/12/2025 4:06,Apa apaan
ajirp16,1,10/12/2025 4:06,@bungtowel8 @akmalmarhali20 @arya.m.sinulingga @erickthohir kon kabeh gausah kakean cangkem. tanggung jawab!!!
4alex________________,0,10/12/2025 4:06,NT SAYANGGG
ristagus,0,10/12/2025 4:06,kangen sty
satria_cj,0,10/12/2025 4:06,"Suruh pulang itu patrick ""goblog"" kluivert"
axelmntr,0,10/12/2025 3:33,"Jauh"" Mikiran pildun , lawan iraq ripuh na ges siga lawan spanyol🥱"
saiful_cupliss,0,10/12/2025 3:34,#kluivertout
farahdin4_,0,10/12/2025 3:33,😢
_1yozz,0,10/12/2025 3:34,duh
zaldy2603,1,10/12/2025 3:19,STY in...
dagoel_mat21,0,10/12/2025 3:19,out Patrick
yudi1899,0,10/12/2025 3:20,Nt nt👏🏼
bagusz1jk,1,10/12/2025 3:20,Sty🔥
sansdqq_,2,10/12/2025 3:19,🤣🤣🤣🇮🇶
aafhdyt_,1,10/12/2025 3:19,Terimakasih @timnasindonesia ❤️
sultonjunior98,0,10/12/2025 3:19,Kembalikan @shintaeyong7777
trihwijaya,1,10/12/2025 3:19,Mana towel giliran begini kg nongol
achin_goldlion,1,10/12/2025 3:19,#patrickkluivertout cape cape STY bangun di acak2 temennya spongbob
____praasss,0,10/12/2025 3:20,patrick out pelatih terbaik sepanjang masa
adikamahfudin20,0,10/12/2025 3:20,#kluivertout
amdhan_27,0,10/12/2025 3:19,Terimakasih atas perjuangnnya💔🇮🇩🦅
herwin.irwandi,0,10/12/2025 3:20,#patrickout
gandhi_shiro,1,10/12/2025 3:20,"hidup bung towel.,hidup evan dimas 😂"
yasharromadhon,0,10/12/2025 3:20,Pelatih kok coba-coba 😂
agungsa____,2,10/12/2025 3:04,petrik petrikk
agusmurodalfarizi,0,10/12/2025 3:05,💔💔💔💔
atfaillh,1,10/12/2025 3:05,"#Erickthohirout , semua gara gara erick mecat STY 🙏"
xeeylaaz,0,10/12/2025 3:04,sengaja kah mecat sty tapi masukin patrick biar terus di era kegelapan? se gamau itu sepakbolanya maju yah?
svcw_vtm,0,10/12/2025 3:04,semangat lagi timnas untuk pildun 2030👏❤️
bar.akbar_,0,10/12/2025 3:05,MINGGU M - NYA APA MPEK
rachmathidayatsonda,1,10/12/2025 3:04,"HAHAHAHA, TERIMA KASIH #ERICKTOHIR"
wahid.hp,1,10/12/2025 3:04,Pelatih ganti sama jesuscasas min bagus tuh dia paham regional asia🔥
rahmadrisqi29,0,10/12/2025 3:03,p
alvinfadh_,0,10/12/2025 3:04,nt udah sejauh ini 😭
adtyamuhammad_,0,10/12/2025 3:04,#patrickout
07.12_pm,0,10/12/2025 3:05,Si ridho suruh pokus dangdut aja haha
aepspln,2,10/12/2025 3:05,Mari rakit kembali mimpi itu
ghunawan77,0,10/12/2025 3:04,@allvarezz_ gimana ini Bintang laut sebenrnya mau bawa indo kemana si?
tnlmnt,1,10/12/2025 3:04,Total football ❌  Gagal Total ✔️
ariduaan_14,0,10/12/2025 2:52,#kluivertout
kahfy_15,0,10/12/2025 2:52,Heuhh💔
egysaputra95_,1,10/12/2025 2:51,Awal kehancuran timnas dari pemecatan @shintaeyong7777
wiannnnnn_,0,10/12/2025 2:51,
ashozill,0,10/12/2025 2:52,Garudog😂😂😂
quotedzt,0,10/12/2025 2:52,Rispect min💔😭
_deltatee,0,10/12/2025 2:52,"@erickthohir mundur aja , ga becus kerjamu."
berrybroto,0,10/12/2025 2:52,Terus saya harus bagaimana?
trisnoidd,0,10/12/2025 2:52,Patrickout
alfi.juliant,0,10/12/2025 2:51,Suwon cak @433
iambaagass,0,10/12/2025 2:52,Pasukan jeruk kemana ?
joecolealdzar,13,10/12/2025 2:51,"Bikin sedih, hancur"
dedewpsp,0,10/12/2025 2:51,🥹❤️🫂
glnganrkii,0,10/12/2025 2:51,Yaudah
msyahrulhanafi,0,10/12/2025 2:52,💔
ptraa.kenee,3,10/12/2025 7:40,"Perjalanan timnas Indonesia di Kualifikasi Piala Dunia 2026
ROUND 1
🇧🇳 Brunei 0-6 Indonesia 🇮🇩
🇮🇩 Indonesia 6-0 Brunei 🇧🇳
ROUND 2
🇮🇶 Irak 5-1 Indonesia 🇮🇩
🇵🇭 Filipina 1-1 Indonesia 🇮🇩
🇮🇩 Indonesia 1-0 Vietnam 🇻🇳
🇻🇳 Vietnam 0-3 Indonesia 🇮🇩
🇮🇩 Indonesia 0-2 Irak 🇮🇶
🇮🇩 Indonesia 2-0 Filipina 🇵🇭
ROUND 3
🇸🇦 Arab Saudi 1-1 Indonesia 🇮🇩
🇮🇩 Indonesia 0-0 Australia 🇦🇺
🇧🇭 Bahrain 2-2 Indonesia 🇮🇩
🇨🇳 China 2-1 Indonesia 🇮🇩
🇮🇩 Indonesia 0-4 Jepang 🇯🇵
🇮🇩 Indonesia 2-0 Arab Saudi 🇸🇦
🇦🇺 Australia 5-1 Indonesia 🇮🇩
🇮🇩 Indonesia 1-0 Bahrain 🇧🇭
🇮🇩 Indonesia 1-0 China 🇨🇳
🇯🇵 Jepang 6-0 Indonesia 🇮🇩
ROUND 4
🇮🇩 Indonesia 2-3 Arab Saudi 🇸🇦
🇮🇶 Irak 1-0 Indonesia 🇮🇩
Perjuangan terhenti di sini 🥲
tetap semangat untuk para pemain, Terima kasih sudah berjuang."
kumalaiga_,1,10/12/2025 7:39,Galau bangetttt ya Allah💔
satrioooi,0,10/12/2025 7:39,💔
fikrymaulanahrp,1,10/12/2025 7:39,"yok saudara2 ku sebangsa dan setanah air. jangan cuma ramein atau desak si patrick out #patrickout , tapi juga ramein dan desak untuk segera Revolusi PSSI #revolusipssi mau sampai kapan sepakbola kita gini2 aja, di jadikan alat politik😭"
purnomomo_,0,10/12/2025 7:39,Dari awal kepelatihannya aja sudah meragukan !
saldiiii10,0,10/12/2025 7:38,pecat patrick 🙌
tikus_airgot,0,10/12/2025 6:47,Patrick out
azissaputra423,0,10/12/2025 6:47,tanggung jawab pak
_bagasta,0,10/12/2025 6:47,2030 Ngapain lg buat ditonton .
pauzandaulay,0,10/12/2025 6:47,Hahaha
briven_nurtiolan,0,10/12/2025 6:47,6 laga 6 poin ? Gimana tuh katanya lebih baik
cristohazta,0,10/12/2025 6:47,Oalah pak erick pak erick 😃 saya cuman ketawa geli saat anda beri keputusan ambil temen nya spongebob
iqbaalpratamaaa_,1,10/12/2025 6:46,PSSI JANCOK PENYAKIT
meliyapusviyanti,0,10/12/2025 6:46,"Yoloh² udah mah belum punya anak , ini bisa jadi salah satu hiburan eh ngapa endingnya gini , sedih amat 😭😭😭😭"
heries241524,0,10/12/2025 6:46,"Pada gentle aja udaaahh….. Mundur dari tim pelatih, pimpinan & exco federasi. Kalian kan udh berstempel “Ga Becus”!!!"
ricaazwanii,0,10/12/2025 6:46,🥀
ynbastian,0,10/12/2025 6:46,💔😢
awan_xviii,0,10/12/2025 6:46,"Kita bangga dengan para staff dan pemain, tapi tidak dengan ET AS PK nya"
muhamadpratamaaaa,0,10/12/2025 6:46,semua salah persib!!!
itsrochh,0,10/12/2025 6:46,"Terima kasih kepada semua pemain dan tim kesehatan sudah berjuang,selebihnya bodo amat 💔"
xxnadilanurr,4,10/12/2025 6:46,"KASIAN PATRICK SECARA G LANGSUNG DIA DIKAMBINGHITAMKAN SAMA ERIC WKWKW PADAHAL DALANG UTAMA NYA KAN ERIC WKWKW... 

SEHAT² COACH DAN PARA PEMAIN  TERIMAKASIH KALIAN SUDAH MELAKUKAN YANG TERBAIK 🥺🇮🇩"
koyprikitiwww_709,0,10/12/2025 6:10,nt💔
daanigarfield,0,10/12/2025 6:10,Mas RR mas RR😂
ebonprayit12,1,10/12/2025 6:10,@erickthohir  kalo ujung ujungnya gagal lebih baik gagal bersama @shintaeyong_7777
konveksisurabaya_qampuzshop,1,10/12/2025 6:10,#PATRICKKLUIVERTOUT
dickywakmall,1,10/12/2025 6:09,Kalau gagal mending gagal bersama sty
ttahh_23,0,10/12/2025 6:09,Semoga mereka tidak menyesal para pemain naturalisasi 👋
yordan_kelengentaginting,0,10/12/2025 6:09,"Thank you for fighting for this beloved country. Keep up the good work, Timnasqu. This isn't the end of the world. Remember that true strength lies in the ability to rise again after a fall."
bag_20bs,0,10/12/2025 6:09,Kluivert taek taek
dyattttttttttt,1,10/12/2025 6:09,@erickthohir 😢
alif.amirulsy,0,10/12/2025 6:09,
whyslowe152930,0,10/12/2025 6:09,"#ratutishain
#stycomeback
#erickthohirout
#patrickkluivertout"
dayak_nusantara,0,10/12/2025 6:09,#Patrickout
agilbafaldi3,0,10/12/2025 6:09,Di bangun sty di hancurkan patrick spongbob👊
dariaji_,0,10/12/2025 6:08,"Video masuk lockerroom sambil ""COME ON GUYS""nya mana @erickthohir"
ediprayogo_bukanblantik,0,10/12/2025 6:08,😭
akidnaiem,0,10/12/2025 5:37,pfftt
elhanan_fathariano,0,10/12/2025 5:37,"Kembalikan STY,#patrickout"
yudistira9577,0,10/12/2025 5:37,💔
alta_febrianto,0,10/12/2025 5:37,Wayae out @erickthohir
cecepfahmi,1,10/12/2025 5:36,Sisakan ruang Ikhlas walau berattt
przfkriarsy_,0,10/12/2025 5:36,kacau ah
addeex12,0,10/12/2025 5:36,#patrikout
ibbraahimmm_,1,10/12/2025 5:36,DAN TERJADI LAGI
currentlypl4yin666,0,10/12/2025 5:36,"uda ga kaget, entah kutukan atau DARKSYSTEM"
rifqiiinsomnia_,0,10/12/2025 5:36,AKU SI RAK IKHLAS
anief_elfauz,0,10/12/2025 4:06,Selamat buat Erick dan Patrick masih banyak pertandingan timnas Indonesia selanjutnya yg bisa dijual ke pihak lawan suporter hanya kebagian mimpi dan kecewa aja buat Pak Erick dan Patrick Jaya Jaya Jaya Kaya Raya hidup Mafia bola😂
explore_jorong,1,10/12/2025 4:06,"Coba lihat pak @erickthohir semenjak ganti pelatih, bukan nya semakin membaik, malah semakin memburuk, main nya gak jelas, kalah para pemain disalahkan, di era @shintaeyong7777 kalah pun masih enak di tonton,.apa masih mau mempertahan pelatih sekrng."
dimsari1609,0,10/12/2025 4:06,@erickthohir TANGGUNG JAWAB LU KNTL
thegreatgiondefiga,0,10/12/2025 4:05,@erickthohir  NPD .. Masuk ruang Ganti Seenaknya.. Mecat pelatih semaunya.. WWC pelatih pas Public Holiday .. tolong @tsamaradki Bersihin jilatin nama baik nya..
sweeterth4nfiction,0,10/12/2025 4:05,Kali ini keblunderan ketum sendiri sih
salwardn,0,10/12/2025 4:05,💔😢
are_youoke77,0,10/12/2025 4:05,"kenapa era PK mainnya jadi ancur gini , pas jaman sty main enak ga ancur gini ,nt pildun 🥀"
faridannas,0,10/12/2025 4:05,Tahniah pak @erickthohir & mr @patrickklu
ilham_elsyafa81,0,10/12/2025 4:05,"Semua akan gapapa kalo gantinya STY lebih baik, tapi kalo gini yaelaaaaaaaah"
iloveyouamber1,0,10/12/2025 4:05,😂
jagoan_mamapapa03,1,10/12/2025 4:05,Rip patrick
lesmanasadam,1,10/12/2025 4:05,Perpanjang kontrak Patrick 😍
panggilakufahmi,0,10/12/2025 4:05,kaya mana ini @ze1nd1n 😢😢😢
rendiaaaaaaa,0,10/12/2025 4:05,💔
_chulopapi10,0,10/12/2025 4:05,💔
adib.affan.alfian,0,10/12/2025 4:05,Yey Gk Jadi Pildun Wkwkkwkw (Dalem Hati Nyesek Banget😭😭😭)
saturn1707,0,10/12/2025 4:05,#PATRICKOUT
farrelarlin,1,10/12/2025 4:05,"KATANYA PIALA DUNIA, GK TAU NYA PIALA ASIA, PSSI G****K, INDONESIA DI OBOK OBOK."
alfinrhkm,0,10/12/2025 4:05,😔😔
_adyprstyo,1,10/12/2025 4:05,#patrickout
andikadwib,1,10/12/2025 4:05,udah bener sty malah diganti kocak😹
mhafizxz,0,10/12/2025 4:05,Petrik out
01iilyui,0,10/12/2025 4:05,😢😢😢
hijrahhm21_,1,10/12/2025 4:05,Rido ganti aja sama justin hubner😭😭
keykozaa,0,10/12/2025 3:49,erick ASU I
hsnd___,1,10/12/2025 3:47,@bungtowel8
ridhawibowoo,0,10/12/2025 3:48,💔
golken_fc,0,10/12/2025 3:48,Patrick out....
rizafadilahasidqi,1,10/12/2025 3:47,HAHAHHAA
whandy15,0,10/12/2025 3:48,HAHAHAA
dickycandraar,0,10/12/2025 3:48,Pemain udah luar biasa bngt. Malah dpt pelatih yg modal dateng interview di hari natal 😭
marjanmudhaffar25,0,10/12/2025 3:47,"BILANGIN KE SI BINTANG LAUT KLUIVERT ITU, MAU MAIN DI BYON APA HSS? SAMA TOWEL SEKALIAN DAH"
fbrinsyhmnjt_,0,10/12/2025 3:47,"Ko smlm var nya tiba"" mati lampu 😢"
maszehhh35,0,10/12/2025 3:49,SUDAHI MAIN KING²AN...KING YANG ASLI CUMA KING EMYU..
ceceyourbae13,0,10/12/2025 3:48,Var tidak terpakai mubah
bimaaprilianp,0,10/12/2025 3:48,@hanifmu_ udh minum obat penenang kah? Besok jadwal  kontrol pskiater lagi ya.. maaf @satriaadepermana agak laen ini 🙏
ar__yoox07,0,10/12/2025 3:49,❤️❤️❤️❤️❤️❤️❤️❤️
sahlantogk,0,10/12/2025 3:48,Puass @erickthohir ?? STY Merintis PK Membubarkan🔥👏 Mantab Jiwaaaaa
muamazz_,0,10/12/2025 3:47,"era STY : ""King indo ni boss"" ""telfon Argentina kita rematch""
era Patrick : ""sisakan ruang ikhlas""😭"
indra.dwp,0,10/12/2025 3:34,Indonesia sudah kalah semenjak STY dipecat🙏
billy10sentanu,0,10/12/2025 3:34,"Cm mau bilang, semangat dan stay with this team ya gaes 😭❤️"
alfiraanjani03,0,10/12/2025 3:33,Thank you for all the players who always give everything for Indonesia👏👏. We proud with all of you guys👏👏👏
rehaangga,0,10/12/2025 3:33,Udah gagal trs Caption erik menjadi bijak wkwk
muhammad_fikri_alghifarireal21,0,10/12/2025 3:34,#pecatpatrickkluivert
mas_an106,0,10/12/2025 3:34,Bubar ajalah dah gaada harapan lagi 💔
az_mhndra,3,10/12/2025 3:34,"udahlah emang paling bagus gak lolos ke pildun, sdm suporter masih belum siapp dikit dikit nyerang ig pemain lokal yang bermaij di club rival😂😂😂"
aufanabil12,0,10/12/2025 3:33,💔😂
ferharrdd,0,10/12/2025 3:33,Puass teu lolos cek aing ge da moal lolos
nadiraanahdahhh,0,10/12/2025 3:33,aduhh menangis hati inii😔😭😭
dncryy,1,10/12/2025 3:34,kami masih bersamamu garuda🇮🇩🇮🇩
wijaya_oma,0,10/12/2025 2:38,KLUIVERT STAY SAMPE KIAMAT !!!!!!!!
syarifavito,0,10/12/2025 2:39,"gaiso berkata kata ndelok ptrik, gumbulo bahlil ae gausa dadi pelatih"
_hbibrhman,0,10/12/2025 2:39,kalo gini mh mening pilih sty pssi bodoh
haybasith,0,10/12/2025 2:38,💔
ydtsss_02,1,10/12/2025 2:39,satu2nya cara buat tanggung jawab mundur!!!
mhdabbehfdz,0,10/12/2025 2:38,persib
fajarlesmana_30,0,10/12/2025 2:38,Tohir out
nsblaaaaa,1,10/12/2025 2:38,disuruh sisakan ruang ikhlas cmiw HAHA #PATRICKOUT
lidyaav93,0,10/12/2025 2:38,"Terimakasih timnas dan pelatih,,,Gda pelatih yang ingin tim nya kalahhh timnas udahhh klop sama kepelatihan STY dengan mudah nya pal erich merubah semuanya yg udah di bangun oleh STY akhirnya skrg hancur sudahh semua gara""pak erick 😭💔"
ulinnuha.99,1,10/12/2025 2:38,Skwkkwwk
riyanti_ria84,2,10/12/2025 2:38,@erickthohir tangung jawab💔
sheilas_father,0,10/12/2025 2:38,Kok iso nyasar😜
badsin_ner,0,10/12/2025 2:38,Republik Mafia 😂
erlyn_hrw,0,10/12/2025 2:38,Cuman bangga sama pemain nya aja yang udh berjuang mati matian supaya lolos ❤️
abang_joy,3,10/12/2025 2:39,Kalaupun gagal kita lebih rela bersama STY 🙌
ta2ng_tarmady,0,10/12/2025 2:27,#erickout  KLO MASIH PUNYA MALU OUT KM @erickthohir !!!!
triyana76,0,10/12/2025 2:27,Akhirnya gugur juga💔
alx.patris,0,10/12/2025 2:26,💔💔💔
bagusssardhi,0,10/12/2025 2:26,yang minta Kluivert out harusnya sekalian yg udah ngehancurin semuanya yg jabatannya ✌
sindiyauliy,0,10/12/2025 2:26,sumpah ga mood
argaaaaaa_99,0,10/12/2025 2:26,buang aja itu coach Patrik
regiyudapratama,0,10/12/2025 2:27,Timnas aing mah PERSIB
sindiyauliy,0,10/12/2025 2:27,💔💔💔💔💔😭😭😭💔💔💔
ujangtamvan_11,0,10/12/2025 2:27,sare sare da saria teh jelema
raavfy_16,0,10/12/2025 2:26,PATRICK OUT
meccasurakartans,0,10/12/2025 2:26,"Kalau hasilnya sama-sama gagal, pribadi saya lebih milih gagal bersama STY!!!!"
breezzyyesha,0,10/12/2025 2:27,💔
hafizhnurihsan,0,10/12/2025 2:27,Kluivert out🔥
wahid_hidayatullah07,0,10/12/2025 2:26,Kecewa kali aku bujang inam
sang.alang.121,0,10/12/2025 2:26,"Semua out dari pssi kecuali ratu tisha..erik tohir,arya,dan exco juga pelatih jancok itu yang sudah menghancurkan mimpi rakyat indonesia.."
pangeranlantang,1,10/13/2025 10:39,"udha gaush salah2an, mereka udh berjuang maximal, mereka juga gamau gaada yg mau ga lolos, emang Tuhan belom kasih piala dunia ke kita, kita doakan yang terbaik aja buat Indonesia❤️"
ramaboyss98,2,10/12/2025 3:55,"ERIK OUT
PURBAYA IN"
kunc_art,3,10/12/2025 4:16,Sakit tapi tak berdarah
abbdham42,1,10/16/2025 12:09,MATUR SEMBAHH NUWUN GARUDAKUUUU🙌🔥🔥🔥🔥🔥❤️❤️❤️❤️❤️❤️
adjieonyon,1,10/12/2025 6:43,Terima kasih untuk para pemain yang sudah berjuang sekuat tenaga. Tetap semangat GAEUDA🦾🇮🇩🦾❤️
naelarya,1,10/12/2025 3:34,#ErickTohir Out ‼️
fathiya.shakila1915,4,10/14/2025 11:26,"Kalau disuruh memilih lebih memilih gagal  bersama coach STY yang memperbagus timnas indonesia,dan terimakasih atas perjungan  kalian semua timnas indonesia hebat🥹 selamt tinggal pildun dan se youu pildun💔🥺🥹"
